date,country,campaign_id,IMPRESSION_1,campaign_name,checkout_value,checkout_value_micro,checkouts,clicks,conversions,spend,spend_micro,date_range_start,date_range_end
2025-12-05,US,626755499613,12064.0,TNT_CVR_Retargeting_SiteVisitors,2190.0,2190000000.0,3.0,47.0,615.0,298.00623,298006230.0,2025-09-14,2025-12-12
2025-12-05,US,626755902381,8744.0,TNT_CVR_Retargeting_Catalog,2070.0,2070000000.0,3.0,66.0,676.0,100.495402,100495402.0,2025-09-14,2025-12-12
2025-12-06,US,626755499613,11331.0,TNT_CVR_Retargeting_SiteVisitors,650.0,650000000.0,1.0,36.0,494.0,298.137685,298137685.0,2025-09-14,2025-12-12
2025-12-06,US,626755902381,7750.0,TNT_CVR_Retargeting_Catalog,1540.0,1540000000.0,2.0,56.0,635.0,98.968413,98968413.0,2025-09-14,2025-12-12
2025-12-07,US,626755499613,11764.0,TNT_CVR_Retargeting_SiteVisitors,790.0,790000000.0,1.0,46.0,820.0,307.915741,307915741.0,2025-09-14,2025-12-12
2025-12-07,US,626755902381,7856.0,TNT_CVR_Retargeting_Catalog,190.0,190000000.0,1.0,54.0,712.0,100.455285,100455285.0,2025-09-14,2025-12-12
2025-12-08,US,626755499613,12522.0,TNT_CVR_Retargeting_SiteVisitors,980.0,980000000.0,2.0,44.0,847.0,299.636104,299636104.0,2025-09-14,2025-12-12
2025-12-08,US,626755902381,7610.0,TNT_CVR_Retargeting_Catalog,650.0,650000000.0,1.0,53.0,597.0,101.590733,101590733.0,2025-09-14,2025-12-12
2025-12-09,US,626755499613,11301.0,TNT_CVR_Retargeting_SiteVisitors,2780.0,2780000000.0,4.0,33.0,681.0,289.373895,289373895.0,2025-09-14,2025-12-12
2025-12-09,US,626755902381,8100.0,TNT_CVR_Retargeting_Catalog,590.0,590000000.0,1.0,46.0,476.0,96.537729,96537729.0,2025-09-14,2025-12-12
2025-12-10,US,626755499613,11298.0,TNT_CVR_Retargeting_SiteVisitors,,,,43.0,432.0,304.014292,304014292.0,2025-09-14,2025-12-12
2025-12-10,US,626755902381,8681.0,TNT_CVR_Retargeting_Catalog,2470.0,2470000000.0,3.0,50.0,659.0,101.076329,101076329.0,2025-09-14,2025-12-12
2025-12-11,US,626755499613,10298.0,TNT_CVR_Retargeting_SiteVisitors,,,,35.0,,292.328047,292328047.0,2025-09-14,2025-12-12
2025-12-11,US,626755902381,7155.0,TNT_CVR_Retargeting_Catalog,,,,51.0,,98.135521,98135521.0,2025-09-14,2025-12-12
2025-12-12,US,626755499613,180.0,TNT_CVR_Retargeting_SiteVisitors,,,,1.0,,4.267975,4267975.0,2025-09-14,2025-12-12
2025-12-12,US,626755902381,134.0,TNT_CVR_Retargeting_Catalog,,,,,,2.68528,2685280.0,2025-09-14,2025-12-12
